AreaIdFrom,DistrictIdFrom,AreaIdTo,DistrictIdTo,Tolerance
640,,486,223,0.45
61,,69,2,0.5
184,,486,177,0.55
185,,173,,0.3
617,,486,259,0.1
279,,486,291,0.55
465,,218,,0.15
689,,486,228,0.5
455,119,792,320,0.15
651,318,455,115,0.1
840,,792,320,0.4
298,,455,130,0.1
913,344,913,341,0.05
171,,913,341,0.3
455,104,161,5,0.4
455,131,161,61,0.6
746,,715,,0.7
69,3,651,319,0.25
35,,486,276,0.4
486,304,486,267,0.25
486,142,486,188,0.05
479,,709,,0.5
184,,161,32,0.4
61,,189,73,0.9
344,83,792,321,0.05
64,,486,140,0.1
833,,455,122,0.3
855,,486,169,0.7
161,25,486,174,0.55
273,,709,,0.35
479,,486,159,0.55
211,,667,,0.2
486,143,486,171,0.3
486,147,486,195,0.1
455,105,61,,0.25
699,,455,105,0.1
486,270,486,141,0.15
293,,298,,0.2
298,,486,234,0.4
486,186,486,244,0.15
709,,175,,0.55
465,,69,2,0.45
792,322,433,100,0.2
77,,36,,0.45
471,,161,13,0.15
340,,736,,0.15
486,159,486,158,0.1
670,,486,304,0.35
85,,281,,0.05
232,,455,111,0.15
709,,824,,0.35
806,,471,,0.05
897,,161,27,0.2
486,286,486,303,0.35
161,26,161,20,0.55
161,42,486,209,0.4
479,,486,149,0.4
455,123,870,339,0.15
455,105,455,123,0.25
486,291,455,124,0.25
427,,594,,0.5
439,,486,291,0.05
310,,189,72,0.55
218,,189,73,0.25
161,20,486,301,0.35
486,284,486,297,0.7
333,,486,283,0.55
879,,486,190,0.1
479,,486,303,0.05
486,224,486,244,0.35
622,,479,,0.05
161,28,455,109,0.15
709,,274,,0.7
519,,433,100,0.9
455,109,455,104,0.25
486,271,486,288,0.4
712,,486,185,0.0
479,,486,184,0.9
792,322,486,276,0.25
462,,792,321,0.2
792,322,486,293,0.1
873,,455,131,0.7
469,,486,266,0.15
427,,455,125,0.45
60,,36,,0.15
486,197,486,221,0.6
184,,191,,0.05
371,,486,247,0.2
486,233,486,302,0.4
482,,792,321,0.35
486,277,486,134,0.25
486,239,486,285,0.0
455,103,161,25,0.15
161,36,161,10,0.25
941,,486,237,0.0
115,66,344,75,0.05
161,5,161,30,0.5
486,148,486,246,0.6
486,267,486,204,0.4
354,,870,339,0.25
879,,486,135,0.35
478,,115,70,0.45
65,,486,176,0.85
218,,427,,0.5
486,255,161,11,0.45
385,,455,129,0.75
455,123,161,53,0.15
265,,651,318,0.15
481,,573,,0.35
792,322,455,127,0.55
465,,681,,0.55
486,151,486,183,0.1
298,,486,204,0.0
455,118,486,284,0.0
828,,486,172,0.75
115,67,69,1,0.8
427,,298,,0.45
514,,486,134,0.1
486,283,486,305,0.2
495,,486,166,0.45
486,200,486,317,0.15
875,,462,,0.1
635,,486,196,0.55
157,,410,88,0.4
455,120,486,154,0.7
849,,471,,0.05
61,,792,322,0.5
455,130,486,223,0.3
471,,486,156,0.65
824,,486,252,0.15
505,,455,115,0.4
245,,488,,0.25
402,,455,107,0.85
926,,144,,0.15
272,,161,11,0.05
486,284,486,153,0.15
140,,344,74,0.7
344,76,651,318,0.25
406,,218,,0.3
455,121,486,286,0.4
813,,455,114,0.5
161,49,161,61,0.25
486,171,486,235,0.5
406,,486,139,0.0
486,255,792,320,0.0
69,3,486,139,0.4
709,,486,220,0.15
439,,486,198,0.05
455,130,486,312,0.2
863,,161,46,0.65
486,296,486,270,0.1
600,,344,76,0.75
891,,651,318,0.05
162,,433,102,0.25
458,,486,190,0.4
465,,486,303,0.0
486,239,455,107,0.05
913,346,486,187,0.6
189,73,486,223,0.0
70,,466,,0.35
189,71,161,55,0.15
639,,493,,0.75
879,,455,127,0.15
138,,621,,0.15
596,,277,,0.35
486,244,486,242,0.05
828,,455,131,0.65
538,,455,103,0.4
455,107,486,146,0.55
913,344,486,313,0.15
455,124,486,252,0.65
455,111,486,154,0.0
427,,486,224,0.55
67,,486,202,0.5
479,,824,,0.6
486,179,455,118,0.6
486,240,455,108,0.2
699,,35,,0.1
310,,161,9,0.6
541,,479,,0.3
486,286,486,275,0.75
151,,455,124,0.25
479,,455,123,0.15
505,,486,271,0.35
161,31,486,220,0.9
171,,486,163,0.5
433,102,486,253,0.4
171,,455,106,0.7
115,66,486,218,0.3
406,,161,5,0.6
651,319,486,180,0.1
792,320,486,255,0.75
486,303,486,157,0.1
486,156,455,113,0.0
620,,870,335,0.15
465,,486,142,0.7
468,,486,271,0.05
175,,161,37,0.0
346,,573,,0.45
870,333,455,115,0.35
61,,486,221,0.05
929,,486,144,0.1
465,,455,110,0.15
58,,486,154,0.15
486,267,486,198,0.05
513,,640,,0.25
621,,486,268,0.25
428,,643,,0.45
455,116,69,3,0.25
845,,433,101,0.05
465,,679,,0.3
465,,486,281,0.4
870,331,115,68,0.25
511,,429,,0.55
61,,486,177,0.45
640,,486,194,0.2
792,320,161,65,0.7
427,,455,114,0.5
161,11,161,20,0.45
479,,486,202,0.2
645,,792,322,0.7
681,,486,186,0.15
273,,115,70,0.45
140,,344,77,0.85
640,,486,212,0.25
83,,471,,0.05
493,,455,128,0.4
161,54,115,70,0.1
486,307,161,45,0.4
813,,486,308,0.05
633,,857,,0.05
273,,486,312,0.1
879,,486,272,0.7
410,87,161,51,0.2
486,277,455,125,0.45
488,,486,196,0.3
599,,709,,0.35
651,318,493,,0.0
608,,410,90,0.05
427,,486,137,0.65
455,118,486,191,0.0
874,,462,,0.1
879,,115,68,0.1
410,94,486,189,0.0
486,291,486,183,0.65
69,2,486,168,0.45
298,,455,117,0.2
69,3,486,186,0.15
709,,161,42,0.75
298,,486,170,0.0
813,,486,211,0.1
138,,913,348,0.6
590,,344,79,0.15
455,131,344,82,0.05
748,,433,102,0.0
894,,65,,0.05
6,,27,,0.5
35,,455,120,0.4
792,322,486,182,0.2
410,90,486,263,0.75
455,112,486,214,0.05
486,197,479,,0.05
792,322,486,176,0.3
651,319,486,133,0.1
161,33,486,198,0.5
486,182,486,260,0.85
493,,486,294,0.45
558,,332,,0.55
433,101,486,200,0.15
483,,161,52,0.65
302,,161,50,0.45
410,94,115,68,0.05
486,197,486,167,0.1
664,,486,165,0.1
204,,161,40,0.5
69,4,161,56,0.2
65,,161,56,0.2
161,52,344,82,0.5
594,,140,,0.5
455,123,486,244,0.1
632,,621,,0.3
642,,936,,0.45
439,,486,237,0.0
189,72,161,7,0.4
292,,279,,0.6
405,,427,,0.5
387,,486,297,0.6
151,,486,308,0.2
84,,161,31,0.7
439,,486,172,0.2
514,,486,278,0.95
3,,161,65,0.3
676,,486,235,0.35
161,9,486,231,0.9
651,319,486,154,0.5
61,,455,108,0.55
115,68,486,154,0.75
686,,486,167,0.15
279,,245,,0.85
199,,486,260,0.25
455,125,161,50,0.65
909,,161,39,0.0
334,,455,123,0.35
488,,486,234,0.15
479,,486,231,0.0
476,,488,,0.2
695,,488,,0.2
486,165,486,180,0.25
455,125,486,179,0.2
430,,486,218,0.4
661,,486,280,0.05
486,312,486,309,0.6
322,,143,,0.2
486,235,486,151,0.35
455,129,486,187,0.4
486,267,486,158,0.6
61,,486,209,0.65
547,,245,,0.2
486,186,486,250,0.4
140,,344,79,0.65
694,,439,,0.15
885,,913,343,0.05
486,245,486,292,0.1
279,,486,295,0.75
161,24,455,119,0.2
921,,709,,0.15
184,,486,228,0.2
486,309,455,119,0.25
491,,455,115,0.55
465,,486,157,0.4
824,,486,270,0.8
621,,455,114,0.0
486,139,486,171,0.25
705,,486,311,0.4
410,92,486,151,0.4
833,,486,172,0.15
398,,161,21,0.45
538,,547,,0.35
184,,161,32,0.2
410,96,455,113,0.55
279,,824,,0.2
651,318,161,50,0.65
455,121,161,50,0.35
813,,486,297,0.3
189,72,486,201,0.3
161,15,486,151,0.0
813,,486,181,0.3
455,118,161,28,0.3
813,,161,18,0.0
653,,620,,0.25
184,,486,278,0.45
60,,455,131,0.0
129,,60,,0.8
592,,455,104,0.1
265,,161,37,0.1
805,,486,306,0.6
708,,478,,0.45
69,2,486,161,0.45
427,,870,333,0.15
186,,486,288,0.15
486,218,486,270,0.1
817,,640,,0.0
504,,929,,0.3
161,63,486,136,0.1
455,105,486,263,0.5
273,,161,10,0.45
277,,813,,0.05
486,139,486,231,0.1
69,4,514,,0.25
163,,277,,0.25
65,,486,293,0.6
161,20,486,151,0.05
615,,926,,0.4
486,199,651,318,0.0
69,2,486,186,0.1
663,,486,214,0.25
108,,115,70,0.05
427,,486,265,0.1
913,342,161,44,0.0
161,20,486,291,0.05
651,318,486,142,0.1
391,,486,253,0.35
35,,69,3,0.5
344,74,344,79,0.0
651,319,455,127,0.05
61,,486,258,0.25
277,,486,273,0.6
231,,455,110,0.2
486,257,486,148,0.1
689,,486,314,0.45
70,,594,,0.4
455,109,35,,0.15
161,48,486,265,0.5
514,,69,2,0.45
161,27,486,317,0.15
478,,486,294,0.05
161,54,161,48,0.0
486,296,455,124,0.25
455,126,486,293,0.15
555,,858,,0.25
486,148,486,134,0.9
274,,455,105,0.4
427,,813,,0.6
488,,486,204,0.05
486,317,486,312,0.05
828,,486,198,0.5
273,,486,187,0.75
663,,168,,0.2
913,341,161,26,0.65
640,,279,,0.35
486,187,792,322,0.7
257,,274,,0.3
427,,486,265,0.1
61,,486,154,0.2
465,,813,,0.4
758,,35,,0.05
881,,709,,0.75
245,,455,107,0.75
61,,870,328,0.05
430,,640,,0.45
410,89,486,258,0.25
290,,161,26,0.2
115,70,455,123,0.2
792,322,455,114,0.1
929,,216,,0.05
480,,35,,0.15
455,128,486,132,0.15
481,,486,251,0.1
799,,486,174,0.3
792,320,486,153,0.15
455,103,486,288,0.15
486,242,455,116,0.3
69,4,488,,0.4
465,,385,,0.6
712,,486,313,0.3
252,,879,,0.3
43,,385,,0.1
486,298,410,87,0.55
433,102,410,92,0.0
479,,455,127,0.45
70,,486,154,0.65
925,,65,,0.0
792,321,486,233,0.0
439,,486,234,0.5
494,,161,34,0.65
8,,913,341,0.15
61,,69,2,0.25
427,,161,20,0.0
465,,486,289,0.1
792,321,486,264,0.85
486,270,486,138,0.05
486,246,486,186,0.25
184,,486,172,0.1
175,,486,260,0.45
161,50,161,24,0.25
58,,146,,0.15
651,319,161,24,0.25
639,,486,254,0.0
161,37,486,209,0.15
410,95,870,325,0.25
828,,486,244,0.35
874,,913,341,0.3
625,,486,243,0.2
643,,455,114,0.2
455,119,486,252,0.4
455,127,505,,0.7
274,,486,179,0.15
792,320,488,,0.05
175,,486,245,0.75
85,,651,318,0.45
410,88,792,322,0.15
94,,792,321,0.0
725,,514,,0.35
703,,486,192,0.7
494,,651,318,0.6
681,,486,160,0.5
161,55,184,,0.25
706,,709,,0.2
792,322,344,78,0.8
792,321,486,245,0.2
61,,486,277,0.25
486,170,486,309,0.2
486,197,486,271,0.35
344,81,115,66,0.7
115,69,115,68,0.0
590,,594,,0.05
486,310,486,260,0.6
811,,913,341,0.25
792,321,115,70,0.1
161,28,486,200,0.85
824,,486,202,0.65
455,130,486,192,0.7
65,,455,113,0.3
116,,486,297,0.05
315,,479,,0.85
465,,486,256,0.2
433,100,486,137,0.45
69,2,455,105,0.05
486,289,161,43,0.0
61,,486,274,0.0
189,73,410,88,0.05
69,1,410,89,0.6
870,340,870,330,0.7
741,,792,320,0.2
608,,455,104,0.05
406,,184,,0.45
486,156,486,250,0.5
68,,69,1,0.5
486,154,161,20,0.4
488,,792,321,0.6
913,343,410,85,0.2
60,,486,312,0.25
879,,277,,0.5
115,66,161,24,0.1
486,264,486,283,0.4
486,205,486,300,0.35
646,,792,320,0.45
471,,486,252,0.25
696,,459,,0.1
455,120,870,329,0.2
646,,410,90,0.55
864,,439,,0.4
618,,486,285,0.3
151,,486,197,0.35
465,,115,70,0.45
86,,175,,0.3
486,259,486,229,0.05
69,2,486,146,0.3
486,144,486,174,0.45
874,,486,283,0.15
270,,486,136,0.3
344,75,344,80,0.1
492,,486,198,0.1
274,,709,,0.05
692,,157,,0.35
824,,486,284,0.0
455,108,486,286,0.2
486,266,486,232,0.0
104,,486,270,0.25
913,345,161,51,0.15
479,,189,71,0.4
277,,61,,0.05
427,,455,117,0.0
161,38,486,232,0.0
913,343,161,53,0.45
143,,486,135,0.45
273,,486,206,0.9
140,,161,45,0.25
654,,455,130,0.35
926,,115,69,0.55
175,,455,112,0.1
433,102,455,118,0.0
415,,879,,0.1
486,301,486,216,0.1
61,,161,16,0.15
792,322,486,200,0.5
798,,486,145,0.05
161,22,35,,0.2
52,,870,325,0.15
161,34,486,197,0.4
521,,115,70,0.4
184,,879,,0.6
194,,161,37,0.2
486,310,486,270,0.8
493,,486,149,0.55
600,,486,261,0.5
486,240,486,210,0.5
486,153,486,257,0.25
488,,455,107,0.1
70,,486,244,0.1
69,2,486,306,0.15
621,,736,,0.4
433,102,709,,0.7
709,,486,218,0.05
465,,410,99,0.7
709,,486,163,0.2
573,,699,,0.35
479,,486,227,0.0
36,,410,89,0.15
455,127,385,,0.2
36,,151,,0.05
69,1,455,111,0.0
640,,486,308,0.1
463,,455,103,0.7
824,,486,263,0.25
811,,651,318,0.55
699,,792,322,0.15
101,,651,319,0.65
218,,486,195,0.7
887,,166,,0.6
488,,161,11,0.5
879,,161,15,0.15
427,,824,,0.15
77,,433,101,0.15
792,321,813,,0.05
81,,486,238,0.45
679,,486,189,0.5
813,,455,120,0.65
298,,811,,0.6
433,102,486,296,0.3
410,89,151,,0.35
410,89,161,50,0.55
43,,792,322,0.1
61,,274,,0.25
913,341,161,49,0.0
427,,488,,0.55
161,47,486,272,0.85
547,,929,,0.35
188,,161,64,0.75
486,203,486,282,0.1
161,6,486,317,0.25
344,74,344,79,0.55
463,,454,,0.45
184,,298,,0.0
410,90,455,131,0.15
406,,161,41,0.4
478,,493,,0.15
298,,486,199,0.15
213,,115,70,0.35
455,118,486,162,0.5
479,,161,8,0.5
651,318,161,14,0.2
486,274,486,195,0.05
767,,486,265,0.2
475,,486,158,0.0
639,,486,159,0.5
69,4,161,11,0.3
828,,486,182,0.15
444,,486,268,0.7
486,151,486,254,0.1
486,226,486,248,0.5
149,,897,,0.65
487,,433,102,0.5
161,57,486,145,0.0
245,,651,318,0.5
35,,455,120,0.2
494,,486,251,0.05
486,132,161,49,0.5
161,15,486,153,0.65
70,,410,88,0.4
486,275,486,294,0.3
455,107,792,321,0.25
486,147,161,9,0.35
488,,486,153,0.0
65,,410,94,0.2
643,,486,239,0.15
514,,486,151,0.05
455,125,455,128,0.2
819,,298,,0.65
65,,455,109,0.45
486,294,486,144,0.1
636,,455,117,0.75
792,322,115,66,0.2
161,12,161,31,0.35
455,127,161,57,0.55
676,,161,18,0.25
545,,479,,0.25
83,,913,341,0.75
162,,651,319,0.2
376,,547,,0.05
486,312,486,156,0.15
332,,344,83,0.0
486,317,410,90,0.45
455,104,161,10,0.0
521,,651,318,0.2
693,,651,319,0.7
813,,792,321,0.0
644,,875,,0.25
161,26,486,252,0.35
640,,161,11,0.05
397,,486,172,0.3
455,127,486,266,0.25
427,,433,100,0.2
486,137,161,12,0.25
382,,344,77,0.45
27,,486,173,0.55
651,318,218,,0.2
115,67,161,11,0.15
279,,486,256,0.2
462,,455,110,0.1
658,,144,,0.1
778,,687,,0.0
455,111,792,321,0.05
913,341,161,42,0.55
171,,279,,0.35
61,,486,254,0.15
824,,486,235,0.3
175,,486,169,0.15
455,113,455,115,0.25
189,73,161,9,0.0
614,,519,,0.4
486,170,486,191,0.0
161,26,161,64,0.35
280,,115,68,0.0
862,,689,,0.3
410,95,486,233,0.6
813,,161,20,0.25
813,,486,237,0.05
410,93,161,43,0.15
385,,371,,0.75
651,318,151,,0.1
161,39,69,3,0.05
486,192,455,118,0.0
651,318,161,39,0.25
791,,486,220,0.35
488,,455,127,0.2
479,,486,297,0.05
480,,486,263,0.45
443,,69,4,0.55
792,320,709,,0.25
155,,792,321,0.4
614,,279,,0.7
69,3,486,225,0.7
255,,913,341,0.6
427,,621,,0.25
493,,61,,0.3
473,,279,,0.2
161,51,488,,0.5
702,,486,310,0.7
651,319,486,311,0.05
833,,455,125,0.05
184,,65,,0.3
792,320,486,217,0.0
488,,161,6,0.3
69,2,455,110,0.25
792,321,486,259,0.65
486,193,486,146,0.15
444,,486,260,0.15
60,,35,,0.8
218,,828,,0.5
204,,913,341,0.3
298,,161,14,0.1
61,,115,69,0.55
35,,486,207,0.55
455,118,486,218,0.55
486,213,486,194,0.25
322,,298,,0.0
486,316,486,193,0.3
387,,486,299,0.05
922,,69,3,0.35
736,,486,239,0.4
484,,486,133,0.65
455,104,486,152,0.25
699,,486,239,0.2
310,,106,,0.1
427,,161,9,0.45
161,51,115,67,0.3
278,,185,,0.0
69,1,455,109,0.35
672,,427,,0.0
161,11,140,,0.05
621,,486,172,0.85
913,345,486,290,0.45
70,,486,240,0.35
161,34,486,253,0.3
